941022: Write one thing that is not clear or confusing about this topic.,941023: Write one important thing from this topic.,941024: Write one thing you would like to know more about.
It was not clear when the exponent becomes a negative ,"It was important to know the rules of exponents,",I would like to know which functions will have inverses
Nothing ,horizontal line test ,how to find inverses of quadratic functions 
inverse functions was cool to learn,changing x to y and isolating the y,nothing
Trying to figure ,,
how to find inverse functions algebraically,the any graph that passes the horizontal line test is a one to one function ,all the different ways to find inverse functions and why they're useful
One thing that is not clear or somewhat confusing is the domain.,One important thing is being able to tell if a graph has an inverse.,I would like to know more about how to graph inverses
"One thing I found a little confusing about this topic at first is how to determine whether a function is inverse based on the graph. Initially, I thought they could be reflected in along both axes and still be an inverse function, but they have to be a reflections along the line of y=x.","One important thing about this topic is the significance of inverse functions, which are represented as f^-1(x). The modules describe how important they are, as they relate back to previous concepts like composite functions. The composite expressions g(f(x))=x and f(g(x))=x are used to check whether the two functions are an inverse of each other. ","One thing I would want to know more about is what is the most useful way to test if a function is one-of-one. I know the horizontal line test is the easiest, but which gives us the most information about the function itself. "
Will the vertical line test have an importance with inverse functions ,so far if you pass the horizontal line test it should have an inverse function ,"will inverse functions have any relations to limits?

 "
I'm confused on finding the domain of inverses and how they are related to the domains of regular functions.,The horizontal line test checks a graph to see if a function is considered one-to-one.,I would like to know more about how to find the domain of inverse and regular functions algebraically. 
The material was clear since we've gone over it.,Knowing what a one to one function looks like is essential because one of the first steps when looking at problems like these is identifying this ,I would like to know more about inverse numbers
Review how to find the inverse of a function?,One to one functions as well as positive/ negative orientation. ,How to draw/ represent composite functions on a graph given a series of equations. 
One thing that is kind of confusing is how some functions have an inverse and some don't.,One important thing about this topic is the horizontal line test to determine if a function is one to one.,I would like to know more about learning how to find the inverses of different functions.
Selecting functions that have an inverse based on the graph,Being able to find the inverse of a function algebraically,How do I find functions that have an inverse based on the graph?
How to find inverse functions,"Inverse functions are functions that are ""reverse"" of each other",More in depth explanation on one-to-one functions
which functions have inverses ,paying attention to signs ,how to determine if a function has an inverse 
One thing that is not clear is finding if a function graph is inverse or not. ,One important thing from this topic is understanding how to find inverses. ,"I would like to know more about finding inverses of tables, expressions, and graphs. "
Difference between gof and gXf,Solving for x of inequalities,More about inequalities in general 
How to graph inverse equations looks confusing to me. especially since i was given a brief example.,I think it's important to know how to identify a one-to-one function by using the horizontal line test.,I want to know more on inverse functions and the types of equations or graphs used that make it easy to identify them.
nothing i dont thing,finding inverses of functions,inverses
One thing that I found confusing about this topic is how to find the inverse equations of a function.,"One important thing is that in order for a function to be considered one-to-one, it has to pass the horizontal line test and if it doesn't, then it can't have an inverse.",One thing I would like to know more about is how to find the inverse equations of a function.
One thing that is not clear is finding out how to solve for one to one.,One important thing is remembering if it passes the one to one test it has a inverse.,I'd like to know more about finding inverses.
I'm confused on how the domain and range are defined for inverse functions,Understanding how functions are made inverse. ,Why one to one functions are representations of existing data. What does this mean?
inverse functions with specific exponents,inverse functions ,n/a
I'm unclear on how to tell whether a function is one of one,To find the inverse of a function just switch the x and y and solve for y.,I would like to know more about one of one functions
"Something that is not clear is using the formula correctly. I feel like if I were to try to apply it, I would get confused. ",One important thing is that the inverse is basically swapping the y values with the x values. ,One thing that I would want to learn more about is whether there are shortcuts or ways to remember what inverse is.
,,
i am still confused about finding inverses.,"a one to one function has one value for each input corresponding to the output and vice versa.

 ",i would like to know more about graphing inverse functions.
One thing that is not clear about this topic is the interchange of domain and range and how exactly they go in the opposite direction of eachother.,One important thing from this topic was the inverse of one-to-one functions. It is an easy process of getting the inverse because all you need to do is turn the equation sideways and rewrite it.,One thing I would like to know more about is relabeling of data. Although looking at examples I was still pretty confused on it.
